Поле,Источник,Формула расчета / метод,Экономический смысл,Интерпретация результата
BHAR_CLOSE_60,переякоренная дневная панель (announcement / actualization / create),BHAR over trading days +1 to +60 after the completion event date.,Долгосрочная сверхнормальная доходность после закрытия сделки.,"Положительные значения означают, что покупатель опережал рынок после закрытия сделки; отрицательные — post-closing underperformance."
BHAR_CLOSE_120,переякоренная дневная панель (announcement / actualization / create),BHAR over trading days +1 to +120 after the completion event date.,Долгосрочная сверхнормальная доходность после закрытия сделки.,"Положительные значения означают, что покупатель опережал рынок после закрытия сделки; отрицательные — post-closing underperformance."
BHAR_CLOSE_250,переякоренная дневная панель (announcement / actualization / create),BHAR over trading days +1 to +250 after the completion event date.,Долгосрочная сверхнормальная доходность после закрытия сделки.,"Положительные значения означают, что покупатель опережал рынок после закрытия сделки; отрицательные — post-closing underperformance."
CLOSE_MODEL_TYPE,переякоренная дневная панель,Stores the abnormal-return model used for completion analysis.,Методологическая метка для расчёта abnormal returns вокруг completion event.,Экономически не интерпретируется; используется для фиксации применённой методики.
CLOSE_ESTIMATION_OBS,переякоренная дневная панель,Number of estimation-window observations used for completion-event AR modeling.,Индикатор надёжности оценки abnormal returns вокруг completion event.,Более высокие значения означают более устойчивую оценку ожидаемой доходности.
CLOSE_PANEL_ROLE,переякоренная дневная панель,Identifies which uploaded daily panel supplied the price path: announcement_daily / actualization_daily / create_daily.,Указание источника данных для completion analysis.,"Это не экономическая переменная. Она показывает, какой источник данных позволил провести completion analysis."
CLOSE_EVENT_TRADE_DATE,переякоренная дневная панель,First available trading date on or after completion_date_std within the chosen panel.,"Фактическая торговая дата, использованная как anchor для completion event.","Знак не интерпретируется; поле фиксирует точную торговую дату, использованную как anchor в event study."
CLOSE_ROE,переякоренная дневная панель для completion analysis,Прямое значение ROE в строке t=0 (или в первой доступной строке t>=0).,Рентабельность собственного капитала покупателя.,"В регрессии положительный коэффициент означает, что более прибыльные покупатели получают более сильную реакцию рынка; отрицательный коэффициент означает, что рынок менее благоприятно реагирует на сделки уже высокорентабельных фирм."
CLOSE_ROA,переякоренная дневная панель для completion analysis,Прямое значение ROA в строке t=0 (или в первой доступной строке t>=0).,Рентабельность активов покупателя.,"Положительный и значимый коэффициент означает, что более высокая операционная эффективность связана с более высокими CAR/BHAR; отрицательный — обратное."
CLOSE_P_B,переякоренная дневная панель для completion analysis,Прямое значение P/B в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно балансовой стоимости.,"Положительный коэффициент означает, что более высоко оценённые фирмы получают более сильную реакцию рынка; отрицательный — что инвесторы осторожнее относятся к сделкам уже дорого оценённых покупателей."
CLOSE_P_E,переякоренная дневная панель для completion analysis,Прямое значение P/E в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно прибыли.,"Положительный коэффициент означает, что более высокие оценочные мультипликаторы связаны с более высокими CAR/BHAR; отрицательный означает, что рынок дисконтирует сделки уже дорогих компаний."
CLOSE_TOTAL_ASSETS,переякоренная дневная панель для completion analysis,Прямое значение Total Assets в строке t=0 (или в первой доступной строке t>=0).,Бухгалтерский размер покупателя по активам.,"Положительный коэффициент означает, что более крупные институты связаны с более сильными результатами; отрицательный — что большой размер связан с более слабой реакцией рынка."
CLOSE_MARKET_CAP,переякоренная дневная панель для completion analysis,Прямое значение Market Capitalization в строке t=0 (или в первой доступной строке t>=0).,Рыночный размер покупателя.,"Положительный коэффициент означает, что более крупные публичные покупатели получают более сильную реакцию; отрицательный — что инвесторы ожидают меньшего дополнительного эффекта от уже крупных игроков."
CLOSE_LIQUIDITY_60D,переякоренная дневная панель для completion analysis,Средний торговый объём за окно [-60;-1] относительно события.,Ликвидность акции до события.,"Отрицательный коэффициент означает, что более ликвидные акции демонстрируют более слабые abnormal reactions; положительный — что ликвидные акции реагируют сильнее."
CLOSE_VOLATILITY_60D,переякоренная дневная панель для completion analysis,std(security_return на окне [-60;-1]) * sqrt(252).,Годовая предсобытийная волатильность.,"Положительный коэффициент означает, что более рискованные акции демонстрируют более сильные abnormal reactions; отрицательный — что высоковолатильные акции реагируют слабее или более сглаженно."
DAYS_CREATE_TO_ANNOUNCEMENT,ma_deals_AUDIT.xlsx + table_2_3_cbonds_create.xlsx,announcement_date_std - creation_date_std in calendar days.,Временной лаг между первым появлением сделки и официальным объявлением.,Более высокие значения означают больше времени для постепенного распространения информации или её утечки до официального объявления.
DIFF_CAR_ANN_MINUS_CREATE_1_1,панель объявления и панель даты создания,CAR_ANN_1_1 - CAR_CREATE_1_1.,Разница между реакцией на официальный анонс и реакцией на первое упоминание сделки.,"Положительные значения означают, что рынок сильнее отреагировал на официальный анонс; отрицательные — что часть эффекта уже была заложена в цену на стадии первого упоминания."
RUNUP_PRE_30_5,table_2_1_first_press_release.xlsx,sum(AR_t) over [-30;-5] relative to the official announcement date.,Накопленный abnormal run-up до объявления сделки.,"Положительные и значимые значения согласуются с гипотезой утечки информации, ожидания сделки или постепенного встраивания сигналов в цену до официального релиза."
CAR_PRE_ANNOUNCEMENT,table_2_1_first_press_release.xlsx,sum(AR_t) over [-30;-1] relative to the official announcement date.,Полная сверхнормальная доходность до официального объявления.,"Если показатель положителен и значим, рынок начал реагировать до официального объявления; если он близок к нулю, свидетельства утечки информации слабые."
CAR_ACT_1_1,table_2_2_cbonds_actualization.xlsx,"CAR = sum(AR_t) over [-1;+1] around the actualization date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты актуализации.,"Положительные значения означают благоприятную рыночную реакцию вокруг actualization date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_ACT_3_3,table_2_2_cbonds_actualization.xlsx,"CAR = sum(AR_t) over [-3;+3] around the actualization date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты актуализации.,"Положительные значения означают благоприятную рыночную реакцию вокруг actualization date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_ACT_5_5,table_2_2_cbonds_actualization.xlsx,"CAR = sum(AR_t) over [-5;+5] around the actualization date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты актуализации.,"Положительные значения означают благоприятную рыночную реакцию вокруг actualization date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_ACT_10_10,table_2_2_cbonds_actualization.xlsx,"CAR = sum(AR_t) over [-10;+10] around the actualization date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты актуализации.,"Положительные значения означают благоприятную рыночную реакцию вокруг actualization date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
BHAR_ACT_60,table_2_2_cbonds_actualization.xlsx,BHAR over trading days +1 to +60 after the actualization date.,Долгосрочная сверхнормальная доходность после actualization date.,Положительные значения означают последующее опережение рынка после actualization date; отрицательные значения означают отставание от рынка.
BHAR_ACT_120,table_2_2_cbonds_actualization.xlsx,BHAR over trading days +1 to +120 after the actualization date.,Долгосрочная сверхнормальная доходность после actualization date.,Положительные значения означают последующее опережение рынка после actualization date; отрицательные значения означают отставание от рынка.
BHAR_ACT_250,table_2_2_cbonds_actualization.xlsx,BHAR over trading days +1 to +250 after the actualization date.,Долгосрочная сверхнормальная доходность после actualization date.,Положительные значения означают последующее опережение рынка после actualization date; отрицательные значения означают отставание от рынка.
ACT_MODEL_TYPE,table_2_2_cbonds_actualization.xlsx,Stores the abnormal-return model used for the actualization date panel.,Методологическая метка способа построения abnormal returns.,Экономически не интерпретируется; используется для прозрачности методики.
ACT_ESTIMATION_OBS,table_2_2_cbonds_actualization.xlsx,Number of estimation-window observations used for the actualization date panel.,Индикатор надёжности модели event study.,Higher values indicate more reliable estimation of expected returns.
ACT_ROE,table_2_2_cbonds_actualization.xlsx,Прямое значение ROE в строке t=0 (или в первой доступной строке t>=0).,Рентабельность собственного капитала покупателя.,"В регрессии положительный коэффициент означает, что более прибыльные покупатели получают более сильную реакцию рынка; отрицательный коэффициент означает, что рынок менее благоприятно реагирует на сделки уже высокорентабельных фирм."
ACT_ROA,table_2_2_cbonds_actualization.xlsx,Прямое значение ROA в строке t=0 (или в первой доступной строке t>=0).,Рентабельность активов покупателя.,"Положительный и значимый коэффициент означает, что более высокая операционная эффективность связана с более высокими CAR/BHAR; отрицательный — обратное."
ACT_P_B,table_2_2_cbonds_actualization.xlsx,Прямое значение P/B в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно балансовой стоимости.,"Положительный коэффициент означает, что более высоко оценённые фирмы получают более сильную реакцию рынка; отрицательный — что инвесторы осторожнее относятся к сделкам уже дорого оценённых покупателей."
ACT_P_E,table_2_2_cbonds_actualization.xlsx,Прямое значение P/E в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно прибыли.,"Положительный коэффициент означает, что более высокие оценочные мультипликаторы связаны с более высокими CAR/BHAR; отрицательный означает, что рынок дисконтирует сделки уже дорогих компаний."
ACT_TOTAL_ASSETS,table_2_2_cbonds_actualization.xlsx,Прямое значение Total Assets в строке t=0 (или в первой доступной строке t>=0).,Бухгалтерский размер покупателя по активам.,"Положительный коэффициент означает, что более крупные институты связаны с более сильными результатами; отрицательный — что большой размер связан с более слабой реакцией рынка."
ACT_MARKET_CAP,table_2_2_cbonds_actualization.xlsx,Прямое значение Market Capitalization в строке t=0 (или в первой доступной строке t>=0).,Рыночный размер покупателя.,"Положительный коэффициент означает, что более крупные публичные покупатели получают более сильную реакцию; отрицательный — что инвесторы ожидают меньшего дополнительного эффекта от уже крупных игроков."
ACT_LIQUIDITY_60D,table_2_2_cbonds_actualization.xlsx,Средний торговый объём за окно [-60;-1] относительно события.,Ликвидность акции до события.,"Отрицательный коэффициент означает, что более ликвидные акции демонстрируют более слабые abnormal reactions; положительный — что ликвидные акции реагируют сильнее."
ACT_VOLATILITY_60D,table_2_2_cbonds_actualization.xlsx,std(security_return на окне [-60;-1]) * sqrt(252).,Годовая предсобытийная волатильность.,"Положительный коэффициент означает, что более рискованные акции демонстрируют более сильные abnormal reactions; отрицательный — что высоковолатильные акции реагируют слабее или более сглаженно."
CAR_CREATE_1_1,table_2_3_cbonds_create.xlsx,"CAR = sum(AR_t) over [-1;+1] around the creation / earliest mention date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты первого появления сделки.,"Положительные значения означают благоприятную рыночную реакцию вокруг creation / earliest mention date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_CREATE_3_3,table_2_3_cbonds_create.xlsx,"CAR = sum(AR_t) over [-3;+3] around the creation / earliest mention date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты первого появления сделки.,"Положительные значения означают благоприятную рыночную реакцию вокруг creation / earliest mention date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_CREATE_5_5,table_2_3_cbonds_create.xlsx,"CAR = sum(AR_t) over [-5;+5] around the creation / earliest mention date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты первого появления сделки.,"Положительные значения означают благоприятную рыночную реакцию вокруг creation / earliest mention date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
CAR_CREATE_10_10,table_2_3_cbonds_create.xlsx,"CAR = sum(AR_t) over [-10;+10] around the creation / earliest mention date, using the same daily event-study methodology.",Накопленная дневная сверхнормальная доходность вокруг даты первого появления сделки.,"Положительные значения означают благоприятную рыночную реакцию вокруг creation / earliest mention date; отрицательные значения означают неблагоприятную реакцию; статистическая значимость показывает, несёт ли эта дата рыночно значимую информацию."
BHAR_CREATE_60,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +60 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
BHAR_CREATE_120,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +120 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
BHAR_CREATE_250,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +250 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
CREATE_MODEL_TYPE,table_2_3_cbonds_create.xlsx,Stores the abnormal-return model used for the creation / earliest mention date panel.,Методологическая метка способа построения abnormal returns.,Экономически не интерпретируется; используется для прозрачности методики.
CREATE_ESTIMATION_OBS,table_2_3_cbonds_create.xlsx,Number of estimation-window observations used for the creation / earliest mention date panel.,Индикатор надёжности модели event study.,Higher values indicate more reliable estimation of expected returns.
CREATE_ROE,table_2_3_cbonds_create.xlsx,Прямое значение ROE в строке t=0 (или в первой доступной строке t>=0).,Рентабельность собственного капитала покупателя.,"В регрессии положительный коэффициент означает, что более прибыльные покупатели получают более сильную реакцию рынка; отрицательный коэффициент означает, что рынок менее благоприятно реагирует на сделки уже высокорентабельных фирм."
CREATE_ROA,table_2_3_cbonds_create.xlsx,Прямое значение ROA в строке t=0 (или в первой доступной строке t>=0).,Рентабельность активов покупателя.,"Положительный и значимый коэффициент означает, что более высокая операционная эффективность связана с более высокими CAR/BHAR; отрицательный — обратное."
CREATE_P_B,table_2_3_cbonds_create.xlsx,Прямое значение P/B в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно балансовой стоимости.,"Положительный коэффициент означает, что более высоко оценённые фирмы получают более сильную реакцию рынка; отрицательный — что инвесторы осторожнее относятся к сделкам уже дорого оценённых покупателей."
CREATE_P_E,table_2_3_cbonds_create.xlsx,Прямое значение P/E в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно прибыли.,"Положительный коэффициент означает, что более высокие оценочные мультипликаторы связаны с более высокими CAR/BHAR; отрицательный означает, что рынок дисконтирует сделки уже дорогих компаний."
CREATE_TOTAL_ASSETS,table_2_3_cbonds_create.xlsx,Прямое значение Total Assets в строке t=0 (или в первой доступной строке t>=0).,Бухгалтерский размер покупателя по активам.,"Положительный коэффициент означает, что более крупные институты связаны с более сильными результатами; отрицательный — что большой размер связан с более слабой реакцией рынка."
CREATE_MARKET_CAP,table_2_3_cbonds_create.xlsx,Прямое значение Market Capitalization в строке t=0 (или в первой доступной строке t>=0).,Рыночный размер покупателя.,"Положительный коэффициент означает, что более крупные публичные покупатели получают более сильную реакцию; отрицательный — что инвесторы ожидают меньшего дополнительного эффекта от уже крупных игроков."
CREATE_LIQUIDITY_60D,table_2_3_cbonds_create.xlsx,Средний торговый объём за окно [-60;-1] относительно события.,Ликвидность акции до события.,"Отрицательный коэффициент означает, что более ликвидные акции демонстрируют более слабые abnormal reactions; положительный — что ликвидные акции реагируют сильнее."
CREATE_VOLATILITY_60D,table_2_3_cbonds_create.xlsx,std(security_return на окне [-60;-1]) * sqrt(252).,Годовая предсобытийная волатильность.,"Положительный коэффициент означает, что более рискованные акции демонстрируют более сильные abnormal reactions; отрицательный — что высоковолатильные акции реагируют слабее или более сглаженно."
